"Raimund Aldin,M,raldin0@woothemes.com,8920918,743409.8333333334"
"Moira Darrington,F,mdarrington1@odnoklassniki.ru,11330437,944203.0833333334"
"Franz Snuggs,M,fsnuggs2@redcross.org,12831187,1069265.5833333333"
"Stan Paprotny,M,spaprotny3@youku.com,17714816,1476234.6666666667"
"Faun Hundley,F,fhundley4@bandcamp.com,10121354,843446.1666666666"
"Corliss Knewstubb,F,cknewstubb5@macromedia.com,7379445,614953.75"
"Spense Lennard,M,slennard6@blogtalkradio.com,1658444,138203.66666666666"
"Warden Baxster,M,wbaxster7@economist.com,6286616,523884.6666666667"
"Amelie Stainson,F,astainson8@pagesperso-orange.fr,1979964,164997.0"
"Granger Ide,N,gide9@skyrock.com,3980623,331718.5833333333"
"Milty Rushbury,M,mrushburya@wikia.com,6419064,534922.0"
"Sampson Bleckly,M,sblecklyc@newyorker.com,19642572,1636881.0"
"Nevin Ruthven,M,nruthvend@nationalgeographic.com,4541734,378477.8333333333"
"Kariotta Whittock,G,kwhittocke@pagesperso-orange.fr,8448742,704061.8333333334"
"Dulcie Fills,F,dfillsf@google.cn,11575887,964657.25"
"Edik Caulder,M,ecaulderg@so-net.ne.jp,15526201,1293850.0833333333"
"Babs Chesney,F,bchesneyh@g.co,19595154,1632929.5"
"Madalyn Ropkes,F,mropkesi@bbc.co.uk,1501544,125128.66666666667"
"Winny Kenen,F,wkenenj@elpais.com,6891450,574287.5"
"Winthrop Allen,M,wallenk@washington.edu,15615259,1301271.5833333333"
"Trula MacMarcuis,F,tmacmarcuisl@wiley.com,8509677,709139.75"
"Joseph Arnout,M,jarnoutm@disqus.com,18898514,1574876.1666666667"
"L;urette Derrick,F,lderrickn@wordpress.org,8332293,694357.75"
"Chloris Whistlecroft,F,cwhistlecrofto@rediff.com,16365161,1363763.4166666667"
"Farlay Birtley,M,fbirtleyp@1688.com,19172953,1597746.0833333333"
"Netta Flawn,F,nflawnq@bloglovin.com,16002968,1333580.6666666667"
"Tommi Teas,F,tteasr@com.com,11647643,970636.9166666666"
"Pattie Rubbert,M,prubberts@google.co.jp,19967053,1663921.0833333333"
"May Sobieski,F,msobieskiu@msu.edu,7841994,653499.5"
"Renie Ohms,F,rohmsv@infoseek.co.jp,19843146,1653595.5"
"Janifer Coventry,F,jcoventryw@seattletimes.com,14954602,1246216.8333333333"
"Lizzie Rocco,N,lroccox@huffingtonpost.com,2449354,204112.83333333334"
"Vivi Reasun,F,vreasuny@freewebs.com,1397984,116498.66666666667"
"Walsh Conradsen,M,wconradsenz@seesaa.net,1331766,110980.5"
"Holmes Strood,M,hstrood10@pcworld.com,3920340,326695.0"
"Jobie Pemble,F,jpemble11@printfriendly.com,7540488,628374.0"
"Harley Antoons,F,hantoons12@cloudflare.com,6159586,513298.8333333333"
